,Peak Coefficient
0,0.5795101428689196
1,0.2375219423431773
2,0.1201035816922641
3,0.035515000227235104
4,0.009713431734881778
5,0.002121215881559463
6,0.0004073658049843931
7,6.794494046487771e-05
8,1.013910492862649e-05
9,1.3630252431410095e-06
10,1.6725600912790497e-07
11,1.8872882194019433e-08
12,1.973004513162851e-09
13,1.9216471941164522e-10
14,1.7522685889053694e-11
15,1.5019340614394694e-12
16,1.214250798052501e-13
17,9.28600086956656e-15
18,6.73413109560414e-16
19,4.640670279783102e-17
20,3.0444357815876165e-18
21,1.9042624642537636e-19
22,1.1371260711722952e-20
23,6.489830726459753e-22
24,3.5432772884525096e-23
25,1.852076093764189e-24
26,9.273988178645734e-26
27,4.4508476909667885e-27
28,2.048086587981101e-28
29,9.038448084859156e-30
30,3.825975311465914e-31
31,1.5534955320340132e-32
32,6.050197619182334e-34
33,2.2596914403743512e-35
34,8.09158538365444e-37
35,2.776926759079092e-38
36,9.129335913464841e-40
37,2.873499443525846e-41
38,8.653426792001525e-43
39,2.4913327908919596e-44
40,6.851031455248826e-46
41,1.7977363297108573e-47
42,4.4963196710036344e-49
43,1.0705675773508436e-50
44,2.4233160050635352e-52
45,5.207237061464148e-54
46,1.060518508992147e-55
47,2.04365328269494e-57
48,3.7195847511890886e-59
49,6.382062403310564e-61
50,1.0302805999434996e-62
51,1.561715017925767e-64
52,2.2182357679749328e-66
53,2.9462771424305224e-68
54,3.6517382836234666e-70
55,4.21493826269181e-72
56,4.521279592826274e-74
57,4.498109013635496e-76
58,4.1420894597820983e-78
59,3.52327955165873e-80
60,2.7625750662673623e-82
61,1.99247054174177e-84
62,1.3188818297777957e-86
63,7.993114869532946e-89
64,4.423796321760819e-91
65,2.2294765602081414e-93
66,1.0198970463619124e-95
67,4.219815412888496e-98
68,1.572640241664556e-100
69,5.254130166738263e-103
70,1.5649281910196463e-105
71,4.128112152479259e-108
72,9.568366193105131e-111
73,1.930008227739722e-113
74,3.3472725969844834e-116
75,4.9154565189357297e-119
76,5.989508769030994e-122
77,5.889871892904896e-125
78,4.4889501836914357e-128
79,2.486816263627129e-131
80,8.904576307050175e-135
81,1.5462400129517356e-138
